SEX;ch
1;000000000000001
0;333000000000000
0;333000000000000
0;122333330000000
0;333333330033333
0;333333333333333
0;333333333303333
0;333333000300000
0;333333300000000
0;333333333333333
0;122333333303333
0;333333330333333
0;333330333330303
0;333333330000000
0;333333333330000
0;333333333300000
0;333303330300000
0;333333333003333
0;112233333300000
0;333333300000000
0;112233330333333
0;333333333333333
0;300000000000000
0;223333333303333
0;303300000000000
0;122333030330030
0;112230330000000
0;333333333303300
0;333333033300030
0;333333333333330
0;333333333000333
0;122233303333330
0;330000000000000
0;223333333333333
0;333333333333333
0;223333333033333
0;333333300000000
0;333333033003033
0;223333333303330
0;333333333033333
0;333333330333003
0;333333333033333
0;333333333033333
0;333333333333333
0;333330000000000
0;333333333003033
0;122233033000303
0;333333333033000
0;333333333330000
0;333333000000000
0;112233033303000
0;333333333333333
0;122230333333333
0;122230303003000
0;333333333333333
0;333333030000000
0;333303330333033
0;333333300033000
0;220300300300000
0;300033333303330
0;333333000000000
0;300000330303330
0;333300033003000
0;333333000000000
0;300000000000000
0;203000300030000
0;011223333000330
0;012223333333333
0;033333330333333
0;023333333333333
0;012233333300000
0;033333333330033
0;012233333333330
0;033300000000000
0;011223333333300
0;012223333300000
0;033333000000000
0;033330000000000
0;033333333300300
0;012200300000000
0;012233333303033
0;011220030000333
0;011223003300000
0;011223333300000
0;011223333333303
0;011223333333333
0;030333303000330
0;001120330333000
0;001120300033333
0;003330000333033
0;001122333300000
0;001220000000000
0;001100000000000
0;003333330000030
0;001223333330330
0;001122333303333
0;001100333330033
0;001122303000000
0;003030300000000
0;000122333330333
0;000120333330003
0;000122333300333
0;000122000033333
0;000120300303033
0;000122230300303
0;000122203033030
0;000122233300033
0;000102033300033
0;001122333030333
0;000112230333333
0;000112200003033
0;000112233333333
0;000122333333333
0;000110203030033
0;000120233000000
0;000100003030330
0;000102303000330
0;000011223333333
0;000012230303000
0;000012220330000
0;000011220000330
0;000011020300033
0;000011223303333
0;000010200003030
0;000010223303000
0;000011220000000
0;000112233303333
0;000010200000303
0;000011220300000
0;000001223333333
0;000002233333333
0;000001122033333
0;000001002000330
0;000002033033333
0;000001022300003
0;000002233330003
0;000001022330030
0;000001122300333
0;000001120000000
0;000001223303003
0;000001222333330
0;000001002300000
0;000001222333333
0;000001023333000
0;000001223300330
0;000001022030000
0;000001022000033
0;000001122333333
0;000000303000333
0;000000200030330
0;000000122203303
0;000110233333333
0;000000122303333
0;000000122033030
0;000000100003033
0;000000122033333
0;000000120033000
0;000000122333033
0;000000122333333
0;000000120003000
0;000000122000000
0;000000122033030
0;000000100000330
0;000000112230030
0;000000112000030
0;000000112230000
0;000000100000000
0;000000020030300
0;000000022330333
0;000000033033333
0;000000011203000
0;000000011203033
0;000000011000033
0;000000010000300
0;000000011000033
0;000000012003300
0;000000011023333
0;000000020030333
0;000000011223333
0;000000011203303
0;000000020333333
0;000000020333330
0;000000011223333
0;000000010003333
0;000000011000000
0;000000022333330
0;000000011200000
0;000000011003330
0;000000011200030
0;000000011023333
0;000000003333333
0;000000001222030
0;000000001223333
0;000000001022333
0;000000001000003
0;000000001020030
0;000000001222333
0;000000001223333
0;000000001223333
0;000000001223033
0;000000001203333
0;000000001000033
0;000000001020030
0;000000001220330
0;000000001020333
0;000000001020333
0;000000001020333
0;000000000300000
0;000000000110233
0;000000000112003
0;000000000200003
0;000000000200333
0;000000000200333
0;000000000122233
0;000000000122200
0;000000000112030
0;000000000122333
0;000000000122233
0;000000000122233
0;000000000102030
0;000000000122233
0;000000000102203
0;000000000120233
0;000000000122033
0;000000000102003
0;000000000102233
0;000000000102000
0;000000000112233
0;000000000112203
0;000000000011000
0;000000000110233
0;000000000023333
0;000000000020000
0;000000000023333
0;000000000010220
0;000000000020333
0;000000000020033
0;000000000012003
0;000000000010200
0;000000000010233
0;000000000012200
0;000000000012220
0;000000000012223
0;000000000012233
0;000000000010203
0;000000000010203
0;000000000011220
0;000000000011200
0;000000000011220
0;000000000011203
0;000000000011203
0;000000000011223
0;000000000011223
0;000000000003033
0;000000000003033
0;000000000002003
0;000000000102233
0;000000000002333
0;000000000002333
0;000000000001223
0;000000000001020
0;000000000001222
0;000000000001223
0;000000000001220
0;000000000001223
0;000000000001222
0;000000000001220
0;000000000001000
0;000000000001002
0;000000000001223
0;000000000001220
0;000000000001200
0;000000000102000
0;000000000001102
0;000000000001122
0;000000000001100
0;000000000001122
0;000000000001122
0;000000000001122
0;000000000001102
0;000000000001020
0;000000000001000
0;000000000001102
0;000000000001100
0;000000000001002
0;000000000001122
0;000000000001022
0;000000000001022
0;000000000001120
0;000000000001122
0;000000000001122
0;000000000001000
0;000000000001102
0;000000000001020
0;000000000001122
0;000000000000303
0;000000000000223
0;000000000000223
0;000000000000223
0;000000000000220
0;000000000000223
0;000000000000220
0;000000000000100
0;000000000000120
0;000000000000122
0;000000000000122
0;000000000000120
0;000000000001122
0;000000000000100
0;000000000000100
0;000000000000100
0;000000000000100
0;000000000000100
0;000000000000100
0;000000000000112
0;000000000000100
0;000000000000112
0;000000000000102
0;000000000000100
0;000000000000110
0;000000000000100
0;000000000000102
0;000000000000112
0;000000000000112
0;000000000000102
0;000000000000102
0;000000000000112
0;000000000000110
0;000000000000100
0;000000000000100
0;000000000000110
0;000000000000102
0;000000000000102
0;000000000000112
0;000000000000102
0;000000000000100
0;000000000000110
0;000000000000102
0;000000000000033
0;000000000100033
0;000000000000033
0;000000000000030
0;000000000100033
0;000000000000033
0;000000000000030
0;000000000000020
0;000000000000022
0;000000000000120
0;000000000000020
0;000000000000010
0;000000000000012
0;000000000000010
0;000000000000012
0;000000000000012
0;000000000000012
0;000000000000012
0;000000000000010
0;000000000000010
0;000000000000012
0;000000000000010
0;000000000000010
0;000000000000112
0;000000000000010
0;000000000000012
0;000000000000011
0;000000000000010
0;000000000000011
0;000000000000010
0;000000000000010
0;000000000000010
0;000000000000010
0;000000000000010
0;000000000000011
0;000000000000011
0;000000000000011
0;000000000000010
0;000000000000011
0;000000000000010
0;000000000000011
0;000000000000010
0;000000000000010
0;000000000000010
0;000000000000011
0;000000000000010
0;000000000000011
0;000000000000011
0;000000000000011
0;000000000000003
0;000000000000003
0;000000000000003
0;000000000000003
0;000000000000003
0;000000000000003
0;000000000000002
0;000000000000002
0;000000000000002
0;000000000000002
0;000000000000002
0;000000000000002
0;000000000000001
0;000000000000001
0;000000000000001
0;000000000000001
0;000000000000001
0;000000000000011
0;000000000000001
0;000000000000001
0;000000000000001
0;000000000000001
0;000000000000001
0;000000000000001
0;000000000000001
0;000000000000001
0;000000000000001
0;000000000000001
0;000000000000001
0;000000000000001
0;000000000000001
0;000000000000001
0;000000000000001
0;000000000000001
0;000000000000001
0;000000000000001
0;000000000000001
0;000000000000001
0;000000000000001
0;000000000000001
0;000000000000001
0;000000000000001
0;000000000000001
0;000000000000001
0;000000000000001
0;000000000000001
0;000000000000001
0;000000000000001
